total_nodes_manhattan,solution_length_manhattan,total_nodes_misplaced,solution_length_misplaced,total_nodes_h_max,solution_length_h_max,solution_lengths_identical,shared_states_manhattan_misplaced,unique_to_manhattan,unique_to_misplaced,avg_order_diff_manhattan_misplaced,max_order_diff_manhattan_misplaced,shared_states_manhattan_h_max,unique_to_h_max,avg_order_diff_manhattan_h_max,max_order_diff_manhattan_h_max,shared_states_misplaced_h_max,avg_order_diff_misplaced_h_max,max_order_diff_misplaced_h_max,size,num_moves
31,11,55,11,609,11,True,31,0,0,0.06750298685782556,0.1592592592592592,31,554,0.23143039049235992,0.5144736842105263,55,0.2875409799751905,0.61817738791423,4,11
27,9,69,9,174,9,True,27,0,3,0.14768728004022122,0.335972850678733,27,108,0.1631754030597961,0.44219653179190754,66,0.1941452093186197,0.5345970758245495,4,11
50,11,216,11,700,11,True,46,1,12,0.2680382162976414,0.608827717133365,49,496,0.3175167237780634,0.6449446731482292,204,0.26038278904069195,0.820421199720531,4,11
25,11,56,11,439,11,True,25,0,1,0.16078787878787879,0.3992424242424243,25,384,0.20260273972602738,0.45890410958904104,55,0.25011736291935543,0.8816106268161062,4,11
23,9,23,9,196,9,True,23,0,0,0.0,0.0,23,173,0.1845444410661802,0.3724941724941725,23,0.1845444410661802,0.3724941724941725,4,11
39,11,73,11,412,11,True,39,3,3,0.11836482231219073,0.3516081871345029,36,342,0.1583002518461604,0.33941605839416056,70,0.2483084231259414,0.7589213300892134,4,11
63,11,105,11,464,11,True,63,0,3,0.12728445389735712,0.5756823821339949,63,362,0.26147788361262897,0.5927680624259737,102,0.2453026608550049,0.6158830370493438,4,11
37,11,41,11,662,11,True,37,3,4,0.17394894894894894,0.46111111111111114,34,625,0.18309058368682823,0.37401243906538917,37,0.23886412887925748,0.6031013615733737,4,11
81,11,253,11,740,11,True,81,0,4,0.22391240446796004,0.4922619047619048,81,490,0.3155047695417565,0.7569519621109608,249,0.24632477544259992,0.7069559894323089,4,11
21,9,21,9,147,9,True,21,0,0,0.0,0.0,21,126,0.14833659491193738,0.45136986301369864,21,0.14833659491193738,0.45136986301369864,4,11
26,7,32,7,79,7,True,26,0,0,0.046749379652605456,0.10064516129032264,26,47,0.15660749506903351,0.3630769230769231,32,0.1403406741108354,0.4272125723738627,4,11
55,11,76,11,845,11,True,55,3,3,0.10808080808080808,0.4318518518518519,52,772,0.2906050417898759,0.6499912234509391,73,0.3171410331320738,0.7377883096366509,4,11
31,11,53,11,772,11,True,31,1,1,0.10078577336641853,0.2730769230769231,30,720,0.2227150886294855,0.5241245136186771,52,0.30461668930690183,0.6228424623366258,4,11
36,11,49,11,469,11,True,36,3,4,0.11175595238095237,0.37559523809523815,33,424,0.18515003515003517,0.4715506715506716,45,0.20549620132953467,0.514957264957265,4,11
41,9,53,9,242,9,True,41,0,0,0.07786116322701687,0.2865384615384615,41,189,0.23285092601963364,0.6794605809128631,53,0.25181422351233673,0.7371528886051708,4,11
28,9,35,9,157,9,True,28,1,1,0.04069405539993775,0.08387799564270149,27,123,0.15379339453413526,0.30626780626780625,34,0.18422278413627896,0.503393665158371,4,11
36,11,129,11,818,11,True,36,0,0,0.12398933531746031,0.4122767857142857,36,690,0.24552660721571373,0.5425074313691205,128,0.30926834909539475,0.7886417533659731,4,11
30,11,34,11,541,11,True,30,0,0,0.029815395332636715,0.06687565308254961,30,507,0.18893997445721583,0.3938697318007663,34,0.20200039611804319,0.4565656565656565,4,11
25,11,25,11,791,11,True,25,0,0,0.0,0.0,25,766,0.20053164556962025,0.40105485232067517,25,0.20053164556962025,0.40105485232067517,4,11
9,3,9,3,9,3,True,9,0,0,0.0,0.0,9,0,0.0,0.0,9,0.0,0.0,6,5
10,3,10,3,10,3,True,10,0,0,0.0,0.0,10,0,0.0,0.0,10,0.0,0.0,6,5
9,3,9,3,9,3,True,9,0,0,0.0,0.0,9,0,0.0,0.0,9,0.0,0.0,6,5
9,3,9,3,9,3,True,9,0,0,0.0,0.0,9,0,0.0,0.0,9,0.0,0.0,6,5
14,5,14,5,21,5,True,14,0,0,0.0,0.0,14,7,0.09807692307692306,0.24230769230769234,14,0.09807692307692306,0.24230769230769234,6,5
14,5,14,5,22,5,True,14,0,0,0.0,0.0,14,8,0.059392987964416534,0.14652014652014655,14,0.059392987964416534,0.14652014652014655,6,5
8,3,8,3,8,3,True,8,0,0,0.0,0.0,8,0,0.0,0.0,8,0.0,0.0,6,5
8,3,8,3,8,3,True,8,0,0,0.0,0.0,8,0,0.0,0.0,8,0.0,0.0,6,5
14,5,14,5,21,5,True,14,0,0,0.0,0.0,14,7,0.0695054945054945,0.18846153846153846,14,0.0695054945054945,0.18846153846153846,6,5
11,5,11,5,11,5,True,11,0,0,0.0,0.0,11,0,0.0,0.0,11,0.0,0.0,6,5
12,5,19,5,19,5,True,12,0,0,0.08164983164983165,0.2121212121212121,12,0,0.08164983164983165,0.2121212121212121,19,0.0,0.0,6,5
14,5,14,5,25,5,True,14,0,0,0.0,0.0,14,11,0.08608058608058608,0.21153846153846156,14,0.08608058608058608,0.21153846153846156,6,5
15,5,18,5,21,5,True,15,0,0,0.06526610644257703,0.19327731092436973,15,3,0.05714285714285714,0.15000000000000002,18,0.05964052287581699,0.2147058823529412,6,5
14,5,14,5,22,5,True,14,0,0,0.0,0.0,14,8,0.059392987964416534,0.14652014652014655,14,0.059392987964416534,0.14652014652014655,6,5
9,3,9,3,9,3,True,9,0,0,0.0,0.0,9,0,0.0,0.0,9,0.0,0.0,6,5
15,5,15,5,15,5,True,15,0,0,0.0,0.0,15,0,0.0,0.0,15,0.0,0.0,6,5
15,5,15,5,20,5,True,15,0,0,0.0,0.0,15,5,0.07644110275689223,0.18796992481203006,15,0.07644110275689223,0.18796992481203006,6,5
12,5,19,5,15,5,True,12,0,4,0.08164983164983165,0.2121212121212121,12,0,0.05032467532467533,0.11688311688311687,15,0.0656084656084656,0.16666666666666669,6,5
12,5,19,5,19,5,True,12,0,0,0.08164983164983165,0.2121212121212121,12,0,0.08164983164983165,0.2121212121212121,19,0.0,0.0,6,5
16,5,16,5,16,5,True,16,0,0,0.0,0.0,16,0,0.0,0.0,16,0.0,0.0,6,5
14,5,14,5,19,5,True,14,0,0,0.0,0.0,14,5,0.07020757020757021,0.17094017094017094,14,0.07020757020757021,0.17094017094017094,6,5
12,5,19,5,19,5,True,12,0,0,0.06355218855218854,0.14141414141414144,12,0,0.06355218855218854,0.14141414141414144,19,0.0,0.0,6,5
15,5,18,5,21,5,True,15,0,0,0.04733893557422968,0.19327731092436973,15,3,0.04142857142857143,0.10714285714285715,18,0.09346405228758171,0.3058823529411765,6,5
15,5,18,5,21,5,True,15,0,0,0.042296918767507,0.19327731092436973,15,3,0.04142857142857143,0.10714285714285715,18,0.0669934640522876,0.2147058823529412,6,5
