"level_1#","level_1_F","level_1_H","level_1_G","level_1_BF","level_2#","level_2_F","level_2_H","level_2_G","level_2_BF","level_3#","level_3_F","level_3_H","level_3_G","level_3_BF","level_4#","level_4_F","level_4_H","level_4_G","level_4_BF","level_5#","level_5_F","level_5_H","level_5_G","level_5_BF","level_6#","level_6_F","level_6_H","level_6_G","level_6_BF","level_7#","level_7_F","level_7_H","level_7_G","level_7_BF","level_8#","level_8_F","level_8_H","level_8_G","level_8_BF","level_9#","level_9_F","level_9_H","level_9_G","level_9_BF","level_10#","level_10_F","level_10_H","level_10_G","level_10_BF","H0","H_min","last_H_min_update","f_max","node_max"
"58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","17.0","6.0","0","88.0","135"
"59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","17.0","5.0","0","88.0","135"
"60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","17.0","5.0","1","88.0","135"
"61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","17.0","5.0","2","88.0","135"
"62","58.0","6.0","28","2","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","17.0","5.0","3","88.0","135"
"63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","17.0","5.0","4","88.0","135"
"64","59.0","6.0","29","3","62","58.0","6.0","28","2","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","17.0","5.0","5","88.0","135"
"65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","17.0","5.0","6","88.0","135"
"66","61.0","7.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","17.0","5.0","7","88.0","135"
"67","64.0","7.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","17.0","5.0","8","88.0","135"
"68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","17.0","5.0","9","88.0","135"
"69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","10","88.0","135"
"70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","17.0","5.0","11","88.0","135"
"71","63.0","6.0","33","4","70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","17.0","5.0","12","88.0","135"
"72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","17.0","5.0","13","88.0","135"
"73","61.0","6.0","31","3","72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","14","88.0","135"
"74","62.0","6.0","32","2","73","61.0","6.0","31","3","72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","17.0","5.0","15","88.0","135"
"75","63.0","6.0","33","3","74","62.0","6.0","32","2","73","61.0","6.0","31","3","72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","17.0","5.0","16","88.0","135"
"76","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","17.0","5.0","17","88.0","135"
"77","65.0","7.0","30","3","64","59.0","6.0","29","3","62","58.0","6.0","28","2","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","17.0","5.0","18","88.0","135"
"78","65.0","7.0","30","2","64","59.0","6.0","29","3","62","58.0","6.0","28","2","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","17.0","5.0","19","88.0","135"
"79","66.0","7.0","31","5","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","20","88.0","135"
"80","66.0","7.0","31","4","72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","21","88.0","135"
"81","66.0","7.0","31","4","76","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","22","88.0","135"
"82","66.0","7.0","31","4","77","65.0","7.0","30","3","64","59.0","6.0","29","3","62","58.0","6.0","28","2","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","23","88.0","135"
"83","66.0","7.0","31","3","78","65.0","7.0","30","2","64","59.0","6.0","29","3","62","58.0","6.0","28","2","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","24","88.0","135"
"84","66.0","8.0","26","4","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","17.0","5.0","25","88.0","135"
